"","","","00","","ADD","Eb","","Gb","","Add"
"","","","01","","ADD","Evqp","","Gvqp","","Add"
"","","","02","","ADD","Gb","","Eb","","Add"
"","","","03","","ADD","Gvqp","","Evqp","","Add"
"","","","04","","ADD","AL","","Ib","","Add"
"","","","05","","ADD","rAX","","Ivds","","Add"
"","","","06","","PUSH","","","ES","","Push Word, Doubleword or Quadword Onto the Stack"
"","","","07","","POP","ES","","","","Pop a Value from the Stack"
"","","","08","","OR","Eb","","Gb","","Logical Inclusive OR"
"","","","09","","OR","Evqp","","Gvqp","","Logical Inclusive OR"
"","","","0A","","OR","Gb","","Eb","","Logical Inclusive OR"
"","","","0B","","OR","Gvqp","","Evqp","","Logical Inclusive OR"
"","","","0C","","OR","AL","","Ib","","Logical Inclusive OR"
"","","","0D","","OR","rAX","","Ivds","","Logical Inclusive OR"
"","","","0E","","PUSH","","","CS","","Push Word, Doubleword or Quadword Onto the Stack"
"","","","0F","","POP","CS","","","","Pop a Value from the Stack"
"","","","10","","ADC","Eb","","Gb","","Add with Carry"
"","","","11","","ADC","Evqp","","Gvqp","","Add with Carry"
"","","","12","","ADC","Gb","","Eb","","Add with Carry"
"","","","13","","ADC","Gvqp","","Evqp","","Add with Carry"
"","","","14","","ADC","AL","","Ib","","Add with Carry"
"","","","15","","ADC","rAX","","Ivds","","Add with Carry"
"","","","16","","PUSH","","","SS","","Push Word, Doubleword or Quadword Onto the Stack"
"","","","17","","POP","SS","","","","Pop a Value from the Stack"
"","","","18","","SBB","Eb","","Gb","","Integer Subtraction with Borrow"
"","","","19","","SBB","Evqp","","Gvqp","","Integer Subtraction with Borrow"
"","","","1A","","SBB","Gb","","Eb","","Integer Subtraction with Borrow"
"","","","1B","","SBB","Gvqp","","Evqp","","Integer Subtraction with Borrow"
"","","","1C","","SBB","AL","","Ib","","Integer Subtraction with Borrow"
"","","","1D","","SBB","rAX","","Ivds","","Integer Subtraction with Borrow"
"","","","1E","","PUSH","","","DS","","Push Word, Doubleword or Quadword Onto the Stack"
"","","","1F","","POP","DS","","","","Pop a Value from the Stack"
"","","","20","","AND","Eb","","Gb","","Logical AND"
"","","","21","","AND","Evqp","","Gvqp","","Logical AND"
"","","","22","","AND","Gb","","Eb","","Logical AND"
"","","","23","","AND","Gvqp","","Evqp","","Logical AND"
"","","","24","","AND","AL","","Ib","","Logical AND"
"","","","25","","AND","rAX","","Ivds","","Logical AND"
"","","","27","","DAA","","","","","Decimal Adjust AL after Addition"
"","","","28","","SUB","Eb","","Gb","","Subtract"
"","","","29","","SUB","Evqp","","Gvqp","","Subtract"
"","","","2A","","SUB","Gb","","Eb","","Subtract"
"","","","2B","","SUB","Gvqp","","Evqp","","Subtract"
"","","","2C","","SUB","AL","","Ib","","Subtract"
"","","","2D","","SUB","rAX","","Ivds","","Subtract"
"","","","2F","","DAS","","","","","Decimal Adjust AL after Subtraction"
"","","","30","","XOR","Eb","","Gb","","Logical Exclusive OR"
